,damage,stcode,ccode,rain1hr,raintot,stide,stidemhhw,windmax,year,gdp,pop,region
94,6250,37,13,5.7625,32.15048993,0,0,43.92849258,1996,781242.5744,45323.42256,2
95,1000,37,187,3.31155303,18.85849567,0,0,43.45300806,1996,208115.5759,14400.6782,2
96,0,37,163,4.568597561,24.27992082,0,0,43.69035779,1996,1391687.818,60487.99248,2
97,0,37,101,6.05265748,25.13317118,0,0,34.20396522,1996,1427772.05,106773.0406,2
98,0,37,51,4.705357143,22.58404856,0,0,34.78735462,1996,7820530.425,291569.0759,2
99,15600,37,107,11.48689516,36.50200075,0,0,43.82852189,1996,1213641.497,61066.02556,2
100,1000,37,147,3.734375,28.15792026,0,0,42.32041832,1996,2266790.155,128194.6188,2
101,0,37,153,0.459935897,1.154392483,0,0,24.44388541,1996,726055.503,47374.59323,2
102,0,36,79,6.088541667,17.09201389,0,0,43.18557612,1996,2194387.759,99038.27368,3
103,0,36,71,5.640625,17.05277882,0,0,42.60829297,1996,7232651.472,347921.4737,3
104,10,36,27,5.097521552,17.26811692,0,0,42.71780932,1996,7423555.379,290484.1278,3
105,0,34,21,3.03125,9.37890625,0,0,41.60187957,1996,13806468.1,355297.085,3
106,0,34,7,4.310661765,16.25,0,0,42.1193117,1996,14402061.59,512732.7662,3
107,0,34,35,3.723214286,14.75619232,0,0,41.35236716,1996,13688643.19,299492.9083,3
108,0,34,5,4.547256098,15.42125436,0,0,42.65020153,1996,14153679.16,440565.7143,3
109,0,34,41,3.484375,11.43793403,0,0,38.59606825,1996,3408229.195,109311.9008,3
110,0,34,27,5.4375,14.57625712,0,0,41.18281757,1996,27435955.57,476942.5602,3
111,0,34,15,2.132653061,7.793367347,0,0,41.53961637,1996,6446979.734,260969.006,3
112,0,34,19,3.514880952,10.37532051,0,0,40.17602268,1996,4964856.185,128582.9496,3
113,0,34,37,3.488636364,11.20912911,0,0,41.68884075,1996,2946089.849,153917.9368,3
114,0,33,9,3.479166667,7.088258604,0,0,39.64112697,1996,2797934.711,82735.32857,3
115,0,33,11,4.757692308,14.3484206,0,0,43.63340093,1996,12129185.72,381329.2752,3
116,0,25,11,5.495710784,12.04522059,0,0,42.58607523,1996,1653386.219,72493.07669,3
117,10,25,3,4.296677215,15.34664223,0,0,41.84708713,1996,3581256.13,137101.1677,3
118,0,24,11,3.023097826,14.31177736,0,0,39.77952551,1996,394015.891,29967.92256,3
119,0,24,45,6.273706897,24.04144858,0,0,41.01636167,1996,1930500.419,83883.86992,3
120,330,23,25,3.850527108,13.65748189,0,0,40.23264756,1996,1162285.863,52225.8406,3
121,0,23,11,5.084325397,13.41995851,0,0,41.89312994,1996,2943394.271,119079.4,3
122,0,23,21,4.159543011,17.47991747,0,0,38.79978531,1996,313141.915,17839.71654,3
123,0,11,1,1.13125,3.5625,0,0,34.22392325,1996,46075251.51,497384.6737,3
124,7,9,5,6.030790441,22.60651774,0,0,43.81181291,1996,5568510.056,191922.1361,3
125,0,9,3,3.698863636,17.39031448,0,0,44.21193175,1996,38090836.03,865835.6564,3
126,0,45,19,1.644285714,5.367142857,0.886706385,0.030494053,46.18017572,1996,6594963.386,279804.9624,2
127,7000,37,19,2.396103896,5.470409159,2.937176178,2.212713297,58.82708919,1996,1502829.064,57207.50752,2
128,201000,37,129,4.092672414,8.536978221,2.954751042,2.227531664,59.44974273,1996,4210016.112,149482.1301,2
129,226000,37,141,6.516608392,10.17651099,2.825759504,2.101698046,59.16983478,1996,215158.7038,35397.53308,2
130,5e+05,37,133,3.730288462,6.760193844,2.48390817,1.752267152,57.59598993,1996,3472464.156,135838.0233,2
131,2e+05,37,31,1.620614035,5.263837997,1.909634591,1.208534591,51.09792103,1996,1000483.111,58102.74286,2
132,50,37,95,7.420758929,21.13842668,0.831625536,0.362911935,37.02579918,1996,140139.7962,6142.252632,2
133,0,37,55,3.526332487,5.527793993,0.682149316,0.14447579,34.06427802,1996,987885.8594,30344.34737,2
134,1000,37,53,0.838619403,1.954291045,0.586695934,-0.007704066,30.14737987,1996,183611.9977,17751.26692,2
135,350,51,179,10.70738636,21.90198864,0.848721125,0.611681981,21.87360993,1996,1056051.806,90658.22556,3
136,100,24,37,5.513257576,13.49429924,0.727385171,0.411385171,22.83206184,1996,1907336.171,84213.28496,3
137,5,24,3,3.979753521,11.05612844,0.752278813,0.512777969,21.0526837,1996,13128579.64,475442.7917,3
138,0,24,5,10.75085616,25.77651571,0.776204316,0.513477767,20.05461984,1996,23638909.46,755769.1504,3
139,0,24,41,0.333333333,0.715686275,0.668152254,0.405648459,21.43830297,1996,1128412.99,35062.41955,3
140,0,24,19,0.505257009,0.634255059,0.664254397,0.36906045,22.38637012,1996,795335.9812,30838.45414,3
141,315,54,65,8.010416667,45.36666667,0,0,19.12509139,1996,192268.7098,15383.78045,3
142,5575,54,31,4.852272727,32.94815341,0,0,21.80728423,1996,244950.6744,13049.76015,3
143,75,54,37,6.371212121,20.61363636,0,0,19.58625924,1996,464995.1226,42220.66541,3
144,2375,54,27,9.2265625,53.40559896,0,0,21.02315139,1996,220349.1602,21381.82782,3
145,35,54,3,7.918632075,33.78183962,0,0,19.06660471,1996,1144761.232,72673.47444,3
146,5800,51,790,6.84375,21.46875,0,0,0,1996,962737.9822,23135.90226,3
147,500,51,13,5.825,12.7375,0,0,20.61655594,1996,13633018.86,164477.8526,3
148,100,51,177,7.804303279,10.58401639,0,0,22.26838315,1996,1302479.523,95204.55865,3
149,15100,51,660,1.890625,5.453125,0,0,21.72494587,1996,1966079.306,39011.14511,3
150,3000,51,113,7.48375,12.09092742,0,0,21.28602255,1996,190963.5669,12895.07444,3
151,520,51,157,3.782738095,7.94047619,0,0,20.65815711,1996,96898.12406,7240.093233,3
152,250,51,79,5.888020833,11.66927083,0,0,21.35615444,1996,179118.4737,15384.07218,3
153,950,51,47,5.866898148,11.44675926,0,0,21.42637459,1996,759884.9489,33621.52782,3
154,130,51,61,6.949097938,13.20296392,0,0,21.25081089,1996,1296564.167,55537.00902,3
155,0,51,29,5.169331395,19.54796512,0,0,25.40196761,1996,32764.95865,15839.58045,3
156,8900,51,139,1.740277778,5.344444444,0,0,21.12441605,1996,411857.8466,23537.15639,3
157,540,51,107,6.485197368,17.50164474,0,0,20.39860598,1996,3442180.329,141728.5556,3
158,1100,51,137,7.663194444,10.50694444,0,0,21.78248434,1996,341792.0406,25131.0812,3
159,1300,51,43,4.956730769,11.76923077,0,0,19.86192363,1996,368673.4925,12796.50226,3
160,500,51,59,5.304956897,16.7262931,0,0,21.06748114,1996,15597771.79,936593.0647,3
161,27100,51,171,2.0825,12.75333333,0,0,21.38953775,1996,812751.5135,35753.41353,3
162,0,51,11,9.255580357,28.98821925,0,0,25.99796692,1996,194553.0752,13035.48045,3
163,42000,51,187,3.521959459,5.410472973,0,0,20.13884733,1996,442827.5444,31561.35865,3
164,0,45,15,2.349137931,7.585899015,0,0,44.54612937,1996,1079621.998,114969.7023,2
165,6500,45,33,0.55,1.909615385,0,0,50.83810778,1996,460212.3925,31694.07293,2
166,0,45,69,1.316455696,2.748417722,0,0,43.80909504,1996,464627.6556,30023.06015,2
167,700,45,67,1.935213415,6.446646341,0,0,50.26922045,1996,573526.6962,36425.76241,2
168,200,45,89,1.497003425,7.143407534,0,0,48.11066147,1996,512013.2767,38637.71203,2
169,0,45,31,1.946022727,5.126420455,0,0,41.78220965,1996,1464711.586,69192.26316,2
170,0,42,99,22.53017241,61.60578517,0,0,17.94199373,1996,454560.5113,43703.12782,3
171,0,42,57,5.543945313,21.69584517,0,0,18.27184813,1996,169884.2602,14523.40075,3
172,40000,37,17,3.133741259,5.069205185,0,0,56.21459317,1996,1681128.352,33968.32707,2
173,0,37,15,3.842161017,10.433708,0,0,34.21068551,1996,640301.7759,20852.8594,2
174,5000,37,103,6.446759259,19.33641975,0,0,50.88053974,1996,147093.7639,10426.44211,2
175,0,37,29,7.379807692,14.453125,0,0,30.33584584,1996,141911.6353,7109.485714,2
176,0,37,41,9.201388889,13.86979167,0,0,32.10767371,1996,288019.3135,15046.09774,2
177,0,37,139,9.061141304,23.45516304,0,0,30.51950426,1996,937938.7805,35829.84286,2
178,36000,37,47,4.562911184,6.981733746,0,0,56.36353477,1996,954987.1256,55382.85789,2
179,57000,37,155,2.592548077,7.056982028,0,0,51.08492486,1996,2265039.613,124802.7526,2
180,3000,37,137,8.598721591,19.66164773,0,0,43.83188178,1996,154563.3827,13121.47143,2
181,50000,37,61,5.320610687,13.34581371,0,0,53.67848211,1996,1921472.645,49840.72105,2
182,50,37,177,8.090789474,21.45833235,0,0,33.79995542,1996,54019.27068,4436.246617,2
183,10000,37,49,8.272949219,27.2990296,0,0,46.53276508,1996,2702304.297,91238.86466,2
184,0,37,131,6.193313953,14.55087209,0,0,33.06278938,1996,385412.7992,23590.99624,2
185,0,37,143,13.56603774,25.00471698,0,0,31.18365098,1996,118272.7271,11373.11579,2
186,8000,37,79,14.00426136,50.3842246,0,0,45.59799563,1996,205478.9083,19676.08271,2
187,500,37,117,8.488224638,20.54800725,0,0,36.26499828,1996,654195.8865,26114.16992,2
188,0,37,73,17.28921569,27.56495098,0,0,30.17924946,1996,109185.6038,10987.85414,2
