fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
09007,11,9,4305,9105.0,739,1166,2400,0,81.81818181818181,78306.0,0.05497663014328404,0.1162746149720328,5.497663014328404
09009,12,9,3774,5568.0,1595,1282,897,0,75.0,382784.0,0.009859346263166695,0.014546062531349272,0.9859346263166695
09011,10,10,9413,24405.0,1613,1408,5656,736,100.0,122780.0,0.07666558071347125,0.19877015800618994,7.666558071347125
09013,8,7,1130,2490.0,170,280,680,0,87.5,62211.0,0.018163990291106075,0.04002507595119834,1.8163990291106074
09015,10,9,8160,16049.0,2368,1876,3897,19,90.0,53651.0,0.1520940895789454,0.299137015153492,15.20940895789454
10001,10,8,27667,55433.0,9680,4104,13883,0,80.0,78453.0,0.3526570048309179,0.7065759116923508,35.26570048309179
10003,6,5,1298,3350.0,177,95,1026,0,83.33333333333333,237035.0,0.005475984559242306,0.014132933954901176,0.5475984559242306
10005,11,11,94547,191156.0,30102,16265,48097,83,100.0,151019.0,0.6260602970487157,1.2657745051947107,62.60602970487157
12001,132,102,735208,1990960.0,168228,132667,305271,129042,77.27272727272727,124665.0,5.897469217502908,15.970480888781935,589.7469217502908
12003,110,84,224386,645747.0,34976,51040,90163,48207,76.36363636363636,11165.0,20.097268248992386,57.83672189879086,2009.7268248992386
12005,143,122,761134,2152958.0,163706,130569,314157,152702,85.31468531468532,110926.0,6.861637488055099,19.40895732289995,686.16374880551
12007,110,85,202872,607058.0,33422,33642,91618,44190,77.27272727272727,12552.0,16.162523900573614,48.36344805608668,1616.2523900573615
12009,186,160,3013939,7576955.0,646932,600890,1422523,343594,86.02150537634408,304745.0,9.890035931680586,24.863262727854437,989.0035931680586
12011,181,155,3811711,8689556.0,1056741,825431,1589950,339589,85.6353591160221,897587.0,4.24662010479207,9.68101810743694,424.662010479207
12013,115,90,131768,414749.0,26263,21874,45058,38573,78.26086956521739,7054.0,18.679897930252338,58.79628579529345,1867.9897930252337
12015,223,195,1950242,5346853.0,402539,328658,899538,319507,87.4439461883408,130216.0,14.976976715610984,41.06141334398231,1497.6976715610983
12017,146,118,1495564,4494696.0,293105,223600,631721,347138,80.82191780821918,87644.0,17.06407740404363,51.28355620464607,1706.407740404363
12019,108,91,949901,2833647.0,166223,152413,424193,207072,84.25925925925925,89757.0,10.583029735842329,31.570206223470034,1058.3029735842329
12021,272,237,3307296,9804231.0,507570,596889,1505750,697087,87.13235294117646,231601.0,14.280145595226273,42.33242084446958,1428.0145595226272
12023,122,99,584484,1626427.0,123059,96206,261384,103835,81.14754098360656,32458.0,18.007394170928585,50.10866350360466,1800.7394170928585
12027,178,154,499096,1550843.0,93175,81367,190341,134213,86.51685393258427,17075.0,29.229633967789166,90.82535871156662,2922.9633967789164
12029,146,126,373874,1113954.0,72968,56968,159870,84068,86.3013698630137,10104.0,37.00257323832146,110.24881235154395,3700.257323832146
12031,112,92,2158182,6156427.0,559390,463002,560235,575555,82.14285714285714,462469.0,4.666652251286032,13.31208578304708,466.6652251286032
12033,145,117,849657,2603224.0,137209,104529,428676,179243,80.6896551724138,155649.0,5.458801534221228,16.724964503466133,545.8801534221228
12035,110,93,264083,707521.0,38942,59006,129079,37056,84.54545454545455,56661.0,4.66075431072519,12.486913397222075,466.07543107251905
12037,137,115,118085,360524.0,26967,17804,41377,31937,83.94160583941606,9273.0,12.734282325029657,38.87889571875337,1273.4282325029658
12039,113,91,249569,753956.0,49710,39464,99196,61199,80.53097345132744,21145.0,11.802742965240009,35.65646724994088,1180.2742965240009
12041,115,100,228059,654778.0,49407,34987,97202,46463,86.95652173913044,8264.0,27.596684414327203,79.23257502420135,2759.6684414327206
12043,231,190,371059,1096595.0,77796,66119,136728,90416,82.25108225108225,8476.0,43.77760736196319,129.37647475224162,4377.760736196319
12045,121,99,138947,447067.0,24047,23000,50460,41440,81.81818181818181,9710.0,14.309680741503605,46.04191555097837,1430.9680741503605
12047,114,90,108616,291686.0,20978,20715,50515,16408,78.94736842105263,6620.0,16.40725075528701,44.06132930513595,1640.725075528701
