fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
13021,16,10,6213,10437.0,2010,2205,1922,76,62.5,75683.0,0.08209241177014653,0.13790415284806362,8.209241177014654
13023,19,15,7987,13446.0,2709,2664,2537,77,78.94736842105263,6629.0,1.2048574445617741,2.0283602353296124,120.48574445617741
13025,92,73,164316,439954.0,25729,33753,82844,21990,79.34782608695652,10489.0,15.665554390313662,41.94432262370102,1566.5554390313662
13027,90,74,73904,214136.0,17239,9106,32521,15038,82.22222222222223,10149.0,7.281899694551187,21.099221598187015,728.1899694551188
13029,96,78,84115,198827.0,29586,19274,20521,14734,81.25,18178.0,4.627296732313786,10.937781934206184,462.72967323137857
13031,79,60,88790,225351.0,27040,17447,28318,15985,75.9493670886076,36552.0,2.429142044210987,6.165216677609981,242.9142044210987
13033,36,32,23362,47610.0,7774,5729,8349,1510,88.88888888888889,14412.0,1.6210102692200943,3.3034970857618653,162.10102692200942
13035,7,5,3952,6418.0,2066,653,1233,0,71.42857142857143,9690.0,0.40784313725490196,0.6623323013415893,40.78431372549019
13037,53,41,15295,35627.0,3370,4720,5231,1974,77.35849056603773,2836.0,5.393159379407616,12.562411847672779,539.3159379407616
13039,103,86,110372,341124.0,16348,20231,46071,27722,83.49514563106796,25388.0,4.347408224357965,13.436426658263747,434.7408224357965
13043,46,29,26557,68227.0,7084,3522,12695,3256,63.04347826086956,5960.0,4.455872483221476,11.44748322147651,445.5872483221476
13045,1,1,254,254.0,254,0,0,0,100.0,54530.0,0.004657986429488355,0.004657986429488355,0.4657986429488355
13049,113,100,75688,209748.0,18236,13573,28445,15434,88.49557522123894,5777.0,13.101609832092782,36.3074259996538,1310.1609832092781
13051,87,64,479686,1027405.0,167960,63617,230942,17167,73.5632183908046,138758.0,3.4569970740425777,7.4042938064832295,345.69970740425777
13053,20,18,7075,12939.0,1856,2962,1807,450,90.0,3111.0,2.274188363870138,4.1591128254580525,227.4188363870138
13059,4,3,2152,3600.0,69,1359,724,0,75.0,54185.0,0.03971578850235305,0.06643905139798838,3.971578850235305
13061,47,36,9902,25853.0,1637,1860,5358,1047,76.59574468085107,2222.0,4.456345634563457,11.635013501350135,445.6345634563457
