FIPS,exposed_units,county_name,state_fips
13221,8229.0,Oglethorpe,13
13223,65091.0,Paulding,13
13225,13431.0,Peach,13
13227,17703.0,Pickens,13
13229,12526.0,Pierce,13
13231,8401.0,Pike,13
13233,19614.0,Polk,13
13235,5309.0,Pulaski,13
13237,15369.0,Putnam,13
13239,2107.0,Quitman,13
13241,11680.0,Rabun,13
13243,4538.0,Randolph,13
13245,104219.0,Richmond,13
13247,36756.0,Rockdale,13
13249,2346.0,Schley,13
13251,8715.0,Screven,13
13253,5969.0,Seminole,13
13255,32507.0,Spalding,13
13257,15423.0,Stephens,13
13259,2948.0,Stewart,13
13261,16281.0,Sumter,13
13263,3817.0,Talbot,13
13265,1353.0,Taliaferro,13
13267,12134.0,Tattnall,13
13269,4829.0,Taylor,13
13271,7496.0,Telfair,13
13273,5448.0,Terrell,13
13275,25466.0,Thomas,13
13277,22517.0,Tift,13
13279,15262.0,Toombs,13
13281,9772.0,Towns,13
13283,3709.0,Treutlen,13
13285,33512.0,Troup,13
13287,4179.0,Turner,13
13289,5114.0,Twiggs,13
13291,17146.0,Union,13
13293,14237.0,Upson,13
13295,31555.0,Walker,13
13297,37378.0,Walton,13
13299,19934.0,Ware,13
13301,3810.0,Warren,13
13303,11511.0,Washington,13
13305,14289.0,Wayne,13
13307,1460.0,Webster,13
13309,3153.0,Wheeler,13
13311,16468.0,White,13
13313,40460.0,Whitfield,13
13315,4113.0,Wilcox,13
13317,6864.0,Wilkes,13
13319,5469.0,Wilkinson,13
13321,8823.0,Worth,13
22001,28679.0,Acadia,22
22003,9880.0,Allen,22
22005,56073.0,Ascension,22
22007,9544.0,Assumption,22
22009,18097.0,Avoyelles,22
22011,16611.0,Beauregard,22
22013,6313.0,Bienville,22
22015,57661.0,Bossier,22
22017,123288.0,Caddo,22
22019,98658.0,Calcasieu,22
22021,4932.0,Caldwell,22
22023,3582.0,Cameron,22
22025,4504.0,Catahoula,22
22027,6829.0,Claiborne,22
22029,9219.0,Concordia,22
22031,11064.0,De Soto,22
22033,199140.0,East Baton Rouge,22
22035,2818.0,East Carroll,22
22037,10024.0,East Feliciana,22
22039,13872.0,Evangeline,22
22041,8678.0,Franklin,22
22043,9228.0,Grant,22
22045,28132.0,Iberia,22
22047,12454.0,Iberville,22
22049,7845.0,Jackson,22
22051,172729.0,Jefferson,22
22053,13788.0,Jefferson Davis,22
22055,104372.0,Lafayette,22
22057,39829.0,Lafourche,22
22061,21323.0,Lincoln,22
22063,61275.0,Livingston,22
22065,4562.0,Madison,22
22067,13118.0,Morehouse,22
22069,18777.0,Natchitoches,22
22071,192356.0,Orleans,22
22073,75503.0,Ouachita,22
22075,9708.0,Plaquemines,22
22077,12647.0,Pointe Coupee,22
22079,62939.0,Rapides,22
22081,3698.0,Red River,22
22083,9170.0,Richland,22
22085,14067.0,Sabine,22
22087,15711.0,St. Bernard,22
22089,21310.0,St. Charles,22
22091,5074.0,St. Helena,22
22093,12007.0,St. James,22
22095,17920.0,St. John the Baptist,22
22097,39202.0,St. Landry,22
22099,26531.0,St. Martin,22
22101,29762.0,St. Mary,22
22103,107483.0,St. Tammany,22
22105,57218.0,Tangipahoa,22
22107,3421.0,Tensas,22
22109,48269.0,Terrebonne,22
22111,11213.0,Union,22
22113,19581.0,Vermilion,22
22115,18487.0,Vernon,22
22117,19299.0,Washington,22
22119,24921.0,Webster,22
22121,12527.0,West Baton Rouge,22
22123,4744.0,West Carroll,22
22125,5425.0,West Feliciana,22
22127,6910.0,Winn,22
22None,5444.0,La Salle,22
23001,51447.0,Androscoggin,23
23003,37396.0,Aroostook,23
23005,149028.0,Cumberland,23
23007,17564.0,Franklin,23
23009,34143.0,Hancock,23
23011,64105.0,Kennebec,23
23013,24895.0,Knox,23
23015,26693.0,Lincoln,23
23017,30626.0,Oxford,23
23019,75943.0,Penobscot,23
23021,12502.0,Piscataquis,23
23023,19578.0,Sagadahoc,23
23025,29330.0,Somerset,23
23027,19795.0,Waldo,23
23029,17792.0,Washington,23
23031,115964.0,York,23
24001,35320.0,Allegany,24
24003,241122.0,Anne Arundel,24
24009,38395.0,Calvert,24
24011,16290.0,Caroline,24
24013,69618.0,Carroll,24
24015,48367.0,Cecil,24
24017,67170.0,Charles,24
24019,18810.0,Dorchester,24
24021,110652.0,Frederick,24
24023,21476.0,Garrett,24
24025,108060.0,Harford,24
24027,128461.0,Howard,24
24029,12211.0,Kent,24
24031,412921.0,Montgomery,24
24033,375239.0,Prince George's,24
24035,23925.0,Queen Anne's,24
24037,50888.0,St. Mary's,24
24039,12758.0,Somerset,24
24041,22531.0,Talbot,24
24043,69246.0,Washington,24
24045,49090.0,Wicomico,24
24047,61054.0,Worcester,24
24None,646890.0,Baltimore city,24
25001,168597.0,Barnstable,25
25003,68129.0,Berkshire,25
25005,231891.0,Bristol,25
25007,17040.0,Dukes,25
25009,335799.0,Essex,25
25011,32975.0,Franklin,25
25013,190722.0,Hampden,25
25015,66018.0,Hampshire,25
25017,653917.0,Middlesex,25
25019,13182.0,Nantucket,25
25021,294619.0,Norfolk,25
25023,219189.0,Plymouth,25
25025,309083.0,Suffolk,25
25027,340923.0,Worcester,25
28001,15450.0,Adams,28
28003,16023.0,Alcorn,28
28005,8191.0,Amite,28
28007,8962.0,Attala,28
28009,4690.0,Benton,28
28011,19000.0,Bolivar,28
28013,6934.0,Calhoun,28
28015,5385.0,Carroll,28
28017,8808.0,Chickasaw,28
28019,3629.0,Choctaw,28
28021,4932.0,Claiborne,28
28023,7260.0,Clarke,28
28025,9310.0,Clay,28
28027,11073.0,Coahoma,28
28029,14194.0,Copiah,28
28031,6981.0,Covington,28
28033,68213.0,DeSoto,28
28035,34851.0,Forrest,28
28037,4603.0,Franklin,28
28039,10513.0,George,28
28041,5681.0,Greene,28
28043,11111.0,Grenada,28
28045,23368.0,Hancock,28
28047,97549.0,Harrison,28
28049,108277.0,Hinds,28
28051,7940.0,Holmes,28
28053,3985.0,Humphreys,28
28055,1399.0,Issaquena,28
28057,9086.0,Itawamba,28
28059,65070.0,Jackson,28
28061,8473.0,Jasper,28
28063,3676.0,Jefferson,28
28065,6225.0,Jefferson Davis,28
28067,33761.0,Jones,28
28069,3877.0,Kemper,28
28071,28389.0,Lafayette,28
28073,27228.0,Lamar,28
28075,44527.0,Lauderdale,28
28077,6476.0,Lawrence,28
28079,6469.0,Leake,28
28081,38093.0,Lee,28
28083,13755.0,Leflore,28
28085,16599.0,Lincoln,28
28087,29199.0,Lowndes,28
28089,43836.0,Madison,28
28091,13274.0,Marion,28
28093,19591.0,Marshall,28
28095,13681.0,Monroe,28
28097,5306.0,Montgomery,28
28099,15134.0,Neshoba,28
28101,10369.0,Newton,28
28103,4960.0,Noxubee,28
28105,22699.0,Oktibbeha,28
28107,15032.0,Panola,28
28109,26375.0,Pearl River,28
28111,5898.0,Perry,28
28113,21837.0,Pike,28
28115,15075.0,Pontotoc,28
28117,13364.0,Prentiss,28
28119,3735.0,Quitman,28
28121,62263.0,Rankin,28
28123,12668.0,Scott,28
28125,2206.0,Sharkey,28
28127,12049.0,Simpson,28
28129,8622.0,Smith,28
28131,8109.0,Stone,28
28133,10476.0,Sunflower,28
28135,5767.0,Tallahatchie,28
28137,11777.0,Tate,28
28139,10076.0,Tippah,28
28141,10202.0,Tishomingo,28
28143,5206.0,Tunica,28
28145,12830.0,Union,28
28147,7640.0,Walthall,28
28149,23913.0,Warren,28
28151,24292.0,Washington,28
28153,9554.0,Wayne,28
28155,4689.0,Webster,28
28157,4946.0,Wilkinson,28
28159,8605.0,Winston,28
28161,6795.0,Yalobusha,28
28163,11068.0,Yazoo,28
33001,37695.0,Belknap,33
33003,40300.0,Carroll,33
33005,35476.0,Cheshire,33
33007,19395.0,Coos,33
33009,48679.0,Grafton,33
33011,176800.0,Hillsborough,33
33013,62269.0,Merrimack,33
33015,133272.0,Rockingham,33
33017,55302.0,Strafford,33
33019,20590.0,Sullivan,33
34001,129415.0,Atlantic,34
34003,326373.0,Bergen,34
34005,174337.0,Burlington,34
34007,201230.0,Camden,34
34009,90983.0,Cape May,34
34011,55713.0,Cumberland,34
34013,277894.0,Essex,34
34015,112645.0,Gloucester,34
34017,253365.0,Hudson,34
34019,54078.0,Hunterdon,34
34021,143990.0,Mercer,34
34023,291387.0,Middlesex,34
34025,252872.0,Monmouth,34
34027,190369.0,Morris,34
34029,266338.0,Ocean,34
34031,155255.0,Passaic,34
34033,29112.0,Salem,34
34035,125948.0,Somerset,34
34037,62982.0,Sussex,34
34039,195930.0,Union,34
34041,48210.0,Warren,34
36001,146487.0,Albany,36
36003,26943.0,Allegany,36
36005,537672.0,Bronx,36
36007,94268.0,Broome,36
36009,47683.0,Cattaraugus,36
36011,41524.0,Cayuga,36
36013,76445.0,Chautauqua,36
36015,41110.0,Chemung,36
36017,29662.0,Chenango,36
36019,40097.0,Clinton,36
36021,37809.0,Columbia,36
36023,23565.0,Cortland,36
36025,33770.0,Delaware,36
36027,127598.0,Dutchess,36
36029,445632.0,Erie,36
36031,28163.0,Essex,36
36033,27265.0,Franklin,36
36035,31960.0,Fulton,36
36037,28316.0,Genesee,36
36039,33913.0,Greene,36
36041,8671.0,Hamilton,36
36043,37353.0,Herkimer,36
36045,63626.0,Jefferson,36
36047,1022273.0,Kings,36
36049,17411.0,Lewis,36
36051,30839.0,Livingston,36
36053,34974.0,Madison,36
36055,326542.0,Monroe,36
36057,26174.0,Montgomery,36
36059,497038.0,Nassau,36
36061,665764.0,New York,36
36063,106513.0,Niagara,36
36065,114869.0,Oneida,36
36067,209751.0,Onondaga,36
36069,55630.0,Ontario,36
36071,153218.0,Orange,36
36073,19958.0,Orleans,36
36075,63146.0,Oswego,36
36077,33931.0,Otsego,36
36079,40874.0,Putnam,36
36081,884386.0,Queens,36
36083,74866.0,Rensselaer,36
36085,187926.0,Richmond,36
36087,104880.0,Rockland,36
36089,55876.0,St. Lawrence,36
36091,118024.0,Saratoga,36
36093,71504.0,Schenectady,36
36095,18875.0,Schoharie,36
36097,11369.0,Schuyler,36
36099,17563.0,Seneca,36
36101,53864.0,Steuben,36
36103,576829.0,Suffolk,36
36105,60320.0,Sullivan,36
36107,26545.0,Tioga,36
36109,46401.0,Tompkins,36
36111,92207.0,Ulster,36
36113,43476.0,Warren,36
36115,33317.0,Washington,36
36117,43538.0,Wayne,36
36119,367803.0,Westchester,36
36121,20030.0,Wyoming,36
36123,14650.0,Yates,36
37001,77462.0,Alamance,37
37003,18950.0,Alexander,37
37005,9769.0,Alleghany,37
37007,12191.0,Anson,37
37009,18850.0,Ashe,37
37011,17607.0,Avery,37
37013,26486.0,Beaufort,37
37015,11967.0,Bertie,37
37017,20557.0,Bladen,37
37019,96409.0,Brunswick,37
37021,139702.0,Buncombe,37
37023,40583.0,Burke,37
37025,103419.0,Cabarrus,37
37027,41666.0,Caldwell,37
37029,4685.0,Camden,37
37031,53880.0,Carteret,37
37033,13583.0,Caswell,37
37035,77834.0,Catawba,37
37037,32637.0,Chatham,37
37039,18884.0,Cherokee,37
37041,8405.0,Chowan,37
37043,7021.0,Clay,37
37045,46452.0,Cleveland,37
37047,24513.0,Columbus,37
37049,52093.0,Craven,37
37051,154618.0,Cumberland,37
37053,17266.0,Currituck,37
37055,36598.0,Dare,37
37057,85728.0,Davidson,37
37059,20875.0,Davie,37
37061,23427.0,Duplin,37
37063,152290.0,Durham,37
37065,23054.0,Edgecombe,37
37067,179100.0,Forsyth,37
37069,31120.0,Franklin,37
37071,104616.0,Gaston,37
37073,6274.0,Gates,37
37075,5564.0,Graham,37
37077,27511.0,Granville,37
37079,10004.0,Greene,37
37081,238054.0,Guilford,37
37083,30774.0,Halifax,37
37085,55624.0,Harnett,37
37087,37358.0,Haywood,37
37089,61129.0,Henderson,37
37091,11145.0,Hertford,37
37093,21144.0,Hoke,37
37095,3627.0,Hyde,37
37097,90355.0,Iredell,37
37099,25525.0,Jackson,37
37101,85243.0,Johnston,37
37103,5152.0,Jones,37
37105,28018.0,Lee,37
37107,29877.0,Lenoir,37
37109,44738.0,Lincoln,37
37111,23332.0,McDowell,37
37113,28088.0,Macon,37
37115,11705.0,Madison,37
37117,14981.0,Martin,37
37119,492249.0,Mecklenburg,37
37121,8832.0,Mitchell,37
37123,16270.0,Montgomery,37
37125,50599.0,Moore,37
37127,46149.0,Nash,37
37129,121074.0,New Hanover,37
37131,12287.0,Northampton,37
37133,85382.0,Onslow,37
37135,58550.0,Orange,37
37137,7740.0,Pamlico,37
37139,18753.0,Pasquotank,37
37141,33806.0,Pender,37
37143,7004.0,Perquimans,37
37145,19060.0,Person,37
37147,87827.0,Pitt,37
37149,11832.0,Polk,37
37151,73217.0,Randolph,37
37153,22224.0,Richmond,37
37155,49224.0,Robeson,37
37157,53743.0,Rockingham,37
37159,66056.0,Rowan,37
37161,32559.0,Rutherford,37
37163,30926.0,Sampson,37
37165,17287.0,Scotland,37
37167,31449.0,Stanly,37
37169,23446.0,Stokes,37
37171,35111.0,Surry,37
37173,9885.0,Swain,37
37175,20850.0,Transylvania,37
37177,2917.0,Tyrrell,37
37179,92058.0,Union,37
37181,22377.0,Vance,37
37183,479045.0,Wake,37
37185,12360.0,Warren,37
37187,7014.0,Washington,37
37189,33495.0,Watauga,37
37191,70918.0,Wayne,37
37193,41248.0,Wilkes,37
37195,41323.0,Wilson,37
37197,18359.0,Yadkin,37
37199,13525.0,Yancey,37
42001,45801.0,Adams,42
42003,605858.0,Allegheny,42
42005,35278.0,Armstrong,42
42007,79977.0,Beaver,42
42009,28068.0,Bedford,42
42011,183242.0,Berks,42
42013,60465.0,Blair,42
42015,32796.0,Bradford,42
42017,277004.0,Bucks,42
42019,88110.0,Butler,42
42021,71851.0,Cambria,42
42023,3576.0,Cameron,42
42025,36829.0,Carbon,42
42027,65564.0,Centre,42
42029,223121.0,Chester,42
42031,21293.0,Clarion,42
42033,34422.0,Clearfield,42
42035,17853.0,Clinton,42
42037,32103.0,Columbia,42
42039,51425.0,Crawford,42
42041,117753.0,Cumberland,42
42043,126476.0,Dauphin,42
42045,229696.0,Delaware,42
42047,20003.0,Elk,42
42049,124110.0,Erie,42
42051,69442.0,Fayette,42
42053,7017.0,Forest,42
42055,72426.0,Franklin,42
42057,9666.0,Fulton,42
42059,17625.0,Greene,42
42061,19912.0,Huntingdon,42
42063,42978.0,Indiana,42
42065,26341.0,Jefferson,42
42067,11448.0,Juniata,42
42069,100654.0,Lackawanna,42
42071,237168.0,Lancaster,42
42073,41049.0,Lawrence,42
42075,65976.0,Lebanon,42
42077,159464.0,Lehigh,42
42079,156387.0,Luzerne,42
42081,58278.0,Lycoming,42
42083,21970.0,McKean,42
42085,55065.0,Mercer,42
42087,23623.0,Mifflin,42
42089,79286.0,Monroe,42
42091,360008.0,Montgomery,42
42093,7742.0,Montour,42
42095,130981.0,Northampton,42
42097,41825.0,Northumberland,42
42099,22229.0,Perry,42
42101,712852.0,Philadelphia,42
42103,39356.0,Pike,42
42105,10157.0,Potter,42
42107,75825.0,Schuylkill,42
42109,16014.0,Snyder,42
42111,44949.0,Somerset,42
42113,6004.0,Sullivan,42
42115,27375.0,Susquehanna,42
42117,23848.0,Tioga,42
42119,14375.0,Union,42
42121,29423.0,Venango,42
42123,31876.0,Warren,42
42125,106673.0,Washington,42
42127,36281.0,Wayne,42
42129,175777.0,Westmoreland,42
42131,12613.0,Wyoming,42
42133,189817.0,York,42
44001,22648.0,Bristol,44
44003,78028.0,Kent,44
44005,44871.0,Newport,44
44007,281917.0,Providence,44
44009,64425.0,Washington,44
45001,12041.0,Abbeville,45
45003,92952.0,Aiken,45
45005,5673.0,Allendale,45
45007,94720.0,Anderson,45
