fips,median_weighted_damage,median_recovery_months,max_weighted_damage,max_recovery_months,damage_ratio,recovery_ratio
12035,2519.0,11.6800618219969,153664.0,712.5069550676187,61.00198491464867,61.00198491464867
12037,1424.0,151.22123893270015,15246.0,1619.0442477302995,10.706460674157304,10.706460674157304
12039,5150.0,577.5700934363525,30135.0,3379.6261680979583,5.851456310679612,5.8514563106796125
12041,3758.0,479.7446808714785,28661.0,3658.851063985483,7.626663118680149,7.626663118680149
12043,3329.0,614.5846153467947,28916.0,5338.338461209948,8.686091919495343,8.686091919495343
12045,2795.5,111.07947018396298,17972.0,714.1192052034279,6.4289035950634945,6.4289035950634945
12047,2083.0,961.38461523671,16105.0,7433.076921933373,7.731637061929908,7.731637061929909
12049,3687.0,359.7073170731707,39074.0,3812.0975609756097,10.597775969623,10.597775969623
12051,4720.5,101.6983841937739,66014.0,1422.2046677614217,13.984535536489778,13.98453553648978
12053,13869.5,66.44071856287425,496886.0,2380.2922155688625,35.82580482353365,35.82580482353366
12055,6348.5,77.73673469070462,200141.0,2450.706122348951,31.525714735764353,31.525714735764357
12057,22084.5,29.27361095640015,1355166.0,1796.309731501323,61.36276574067785,61.36276574067785
12059,2408.0,2408.0,29427.0,29427.0,12.220514950166113,12.220514950166113
12061,5036.0,107.14893617021276,208307.0,4432.063829787234,41.36358220810167,41.36358220810167
12063,3345.5,262.39215686274514,36647.0,2874.274509803922,10.95411747123001,10.95411747123001
12065,1091.5,204.65625001279105,17212.0,3227.250000201703,15.76912505726065,15.769125057260649
12067,1826.0,521.7142857142857,12882.0,3680.571428571429,7.054764512595838,7.054764512595839
12069,14868.0,37.17774536051863,296099.0,740.4017503029463,19.915186978746302,19.915186978746302
12071,42925.0,33.42417753552657,1855050.0,1444.461748102005,43.21607454863133,43.21607454863134
12073,9351.0,63.57620398041387,236167.0,1605.667989032446,25.255801518554165,25.255801518554165
12075,9768.0,589.0251257465378,95739.0,5773.206031311198,9.801289926289927,9.801289926289925
12077,808.0,881.4545451340165,7083.0,7726.909088099306,8.766089108910892,8.766089108910892
12079,2022.0,782.7096775203496,25914.0,10031.225807745965,12.816023738872403,12.816023738872405
12081,20048.0,32.19700213960402,584012.0,937.9207708277344,29.130686352753393,29.13068635275339
12083,23288.0,39.52142554094188,584360.0,991.701315231226,25.09275163174167,25.092751631741663
12085,5461.0,88.91723201688373,382642.0,6230.263228969864,70.06811939205274,70.06811939205275
12086,2458.5,4.7499751270420845,2481392.0,2962.561337298281,1009.3113687207647,623.700389594068
12087,3675.5,132.84939757435546,112413.0,4063.120481438178,30.58441028431506,30.584410284315066
12089,9814.0,123.5760755457051,247672.0,3118.640083814538,25.236600774403914,25.236600774403914
12091,4459.0,42.198738157035095,280249.0,2652.1987373336915,62.85019062570083,62.85019062570084
12093,8756.0,5837.333333333333,98635.0,65756.66666666667,11.264846962083142,11.264846962083144
12095,8738.0,13.02073761395856,1123741.0,1674.5178195293438,128.6039139391165,128.6039139391165
12097,4229.0,6.0,192139.0,261.6212413361343,45.433672262946324,43.60354022268905
12099,6064.5,18.312531452610713,1136398.0,3431.498741476447,187.38527496083765,187.38527496083768
12101,34691.0,61.53614190687362,907863.0,1610.4,26.169986451817476,26.169986451817476
12103,18881.0,84.66816143497758,2280943.0,10228.44394618834,120.80626026163868,120.80626026163867
12105,20738.0,23.965331279813764,390966.0,451.8097072593147,18.852637669977817,18.852637669977817
12107,19527.5,2073.7168140858867,150029.0,15932.283185276734,7.682959928306235,7.682959928306233
12109,8089.0,17.411300449679736,361292.0,777.6688789795637,44.66460625540858,44.66460625540858
12111,7358.0,18.138044369914706,379122.0,934.5653244918188,51.525142701821146,51.525142701821146
12113,13631.0,82.48714069591529,261401.0,1581.8517397881997,19.17694960017607,19.176949600176066
12115,20825.0,33.47173854629136,717848.0,1153.7873023759023,34.47049219687875,34.47049219687876
12117,5575.5,33.807983823383935,421114.0,2553.495704385347,75.52936956326786,75.52936956326786
12119,6598.0,19.988891696035232,53617.0,162.4347387187513,8.126250378902698,8.126250378902698
12121,11841.5,1029.695652173913,75636.0,6577.04347826087,6.38736646539712,6.387366465397121
12123,4970.0,1242.5,33978.0,8494.5,6.836619718309859,6.836619718309859
12125,2260.0,602.6666666666666,13241.0,3530.9333333333334,5.858849557522124,5.858849557522125
12127,14570.5,51.39506172839506,560874.0,1978.3915343915344,38.49380597783192,38.49380597783192
12129,4876.0,125.02564102564102,43367.0,1111.974358974359,8.893970467596391,8.89397046759639
12131,8811.0,36.67429760665973,119980.0,499.3964620187305,13.617069572125752,13.617069572125754
12133,4123.0,228.0000000420277,33903.0,1874.820276843285,8.222895949551297,8.222895949551297
13001,2369.5,7108.5000071085,14908.0,44724.000044724,6.29162270521207,6.29162270521207
13003,1293.5,862.3333333333333,8287.0,5524.666666666667,6.406648627754155,6.406648627754156
13009,2417.0,143.5841584442741,12387.0,735.861386284329,5.124948282995449,5.124948282995449
13011,375.5,44.17647058823529,720.0,84.70588235294117,1.9174434087882823,1.9174434087882823
13013,2.0,1.0,2.0,1.0,1.0,1.0
13017,976.0,1952.0,4836.0,9672.0,4.954918032786885,4.954918032786885
13019,2731.0,341.375,12998.0,1624.75,4.759428780666423,4.759428780666423
13021,706.5,55.051948066247256,2469.0,192.3896104395817,3.494692144373673,3.494692144373673
13023,708.0,77.94495413130073,2385.0,262.5688073490851,3.3686440677966103,3.3686440677966103
13025,5792.0,1418.4489797076285,28524.0,6985.469388325345,4.9247237569060776,4.9247237569060776
