fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
13105,0.9177711646276482,3,1363.0129869421812,454.3376623140604,732.4675324294822
13107,6.317701147700791,42,9382.631579440982,223.39598998669004,1695.3157895629115
13109,22.14252691967038,62,32884.61537955621,530.3970222509066,2762.7692303441895
13113,0.0,2,0.0,0.0,0.0
13119,0.05809726234554534,3,86.2822086101306,28.760736203376865,82.45398775029545
13121,0.00067334,2,1.0,0.5,1.0
13125,0.0,0,0.0,,
13127,3.477953381064019,88,5165.226157756882,58.69575179269184,1456.7411443347826
13131,42.6865606987408,91,63395.254550065045,696.6511489018137,8584.145455169757
13133,0.2331719357604301,5,346.2915254706836,69.25830509413672,133.74915256050838
13135,0.0,1,0.0,0.0,0.0
13139,0.0,1,0.0,0.0,0.0
13141,2.2434726888918286,10,3331.8571433329794,333.18571433329794,1643.1428573775918
13145,0.2753639961904762,15,408.95238095238096,27.263492063492063,87.61904761904762
13147,0.08208410680421552,3,121.90588232425745,40.635294108085816,103.76470585793771
13149,0.03862278239691018,4,57.359999995411194,14.339999998852798,55.67999999554559
13151,0.013392661508295626,8,19.889894419306184,2.486236802413273,9.966817496229261
13153,0.2637178602330097,16,391.65631067961164,24.478519417475727,119.96116504854369
13155,12.80861014839926,51,19022.49999762269,372.99019603181745,1617.7499997977814
13157,0.021294571706745653,4,31.625288423004207,7.906322105751052,18.750346104060977
13159,0.33702322754098357,7,500.52459016393436,71.50351288056206,263.40983606557376
13161,65.0010115940004,57,96535.20003861409,1693.6000006774402,8594.40000343776
13163,11.516538028606615,19,17103.60000684144,900.1894740442863,4914.0000019656
13165,9.403000718486046,37,13964.714287709101,377.4247104786244,1907.5714288439387
13167,0.0,0,0.0,,
13169,2.3331612136729496,12,3465.0566039043415,288.7547169920285,1368.5660377874929
13171,0.36103551255813954,11,536.186046511628,48.744186046511636,384.0
13173,23.619920712729154,68,35078.74285313386,515.8638654872626,4763.314285169907
13175,12.303317451076607,30,18272.072728601608,609.069090953387,3112.36363658999
13177,3.1958285848707235,47,4746.233084133904,100.9836826411469,1210.9172935972683
13179,3.3510416284076436,96,4976.745222929936,51.841096072186836,684.28025477707
13181,0.1399819264789199,4,207.89189188065447,51.97297297016362,98.91891891357194
13183,5.091254793434888,82,7561.1946318871405,92.20969063277,475.44966449334896
13185,4.441711357659454,99,6596.535713992119,66.63167387870827,1830.843749918266
13189,0.6833138487926651,10,1014.8125000633634,101.48125000633634,551.8125000344883
13191,13.266176495516056,92,19702.047250298598,214.15268750324563,1126.9606302762081
13193,19.427620049054653,27,28852.615393493114,1068.6153849441894,5992.615386459267
13195,0.8997532469841271,3,1336.2539682539682,445.4179894179894,673.6507936507936
13197,13.48161347614811,23,20021.999994279427,870.5217388817142,4052.5714274135507
13199,0.22058618400000002,13,327.6,25.200000000000003,179.8
13201,126.62293342675414,70,188051.999623896,2686.4571374842285,13907.999972184001
13205,53.98498064143749,74,80174.92001282782,1083.4448650382137,9712.320001553971
13207,0.37309985055215944,12,554.1032027685262,46.175266897377185,198.32028466927824
13209,18.73173328369883,43,27819.130429944496,646.9565216266162,3484.173912437535
