fips,rt_mean,rt_median,rt_std,rt_cv,rt_skew,rt_p10,rt_p50,rt_p90,rt_p99,rt_max,rt_iqr,frac_rt_zero,frac_rt_low,frac_rt_medium,frac_rt_high,frac_rt_extreme,wd_mean,wd_median,wd_std,wd_cv,wd_skew,wd_p90,wd_p99,wd_max,capacity,damage_recovery_corr,n_events,n_damaging_events
48291,140.09991823723325,32.62528388573059,205.58749988388743,1.4674348313020646,1.9782083707932496,0.0,32.62528388573059,443.414080376507,873.9907042767567,1083.1430737571968,221.9515519221655,0.1774193548387097,0.0,0.22580645161290322,0.25,0.3467741935483871,15401.274193548386,3591.5,22646.062025872325,1.4704018473587588,1.9760274807271132,48812.500000000015,96211.80999999994,119236.0,110.0833333,0.9999942174849606,124.0,102.0
48293,24.8823529353218,0.0,43.09749949583795,1.7320508075688774,1.1547005383792512,0.0,0.0,69.67058821890106,96.54352938904856,99.5294117412872,24.8823529353218,0.75,0.0,0.0,0.25,0.0,35.25,0.0,61.054790966802926,1.7320508075688774,1.1547005383792515,98.70000000000002,136.76999999999995,141.0,1.416666667,0.9999999999999999,4.0,1.0
48297,1697.46875,605.5,2000.4219630551545,1.178473514198806,1.0862604405366842,0.0,605.5,5013.7,7065.8099999999995,7200.0,2773.25,0.1875,0.0,0.0625,0.0625,0.6875,1697.46875,605.5,2000.4219630551545,1.178473514198806,1.0862604405366842,5013.7,7065.8099999999995,7200.0,1.0,0.9999999999999999,64.0,52.0
48309,26.70414201183432,26.70414201183432,8.95266272189349,0.33525371150011074,-5.54525549134092e-16,19.542011834319528,26.70414201183432,33.86627218934911,35.47775147928994,35.65680473372781,8.952662721893493,0.0,0.0,0.0,1.0,0.0,2256.5,2256.5,756.5,0.3352537115001108,0.0,2861.7,2997.87,3013.0,84.5,0.9999999999999999,2.0,2.0
48313,5364.000021456,360.00000144,8304.096075346622,1.5481163389504546,1.9060036768383617,0.0,360.00000144,13682.400054729605,27882.720111530867,29628.000118512,7848.000031392001,0.3076923076923077,0.0,0.0,0.15384615384615385,0.5384615384615384,447.0,30.0,692.0080035108532,1.5481163389504546,1.906003676838361,1140.2000000000005,2323.5599999999986,2469.0,0.083333333,0.9999999999999998,13.0,9.0
48315,85.49999995725,85.49999995725,85.49999995725,1.0,0.0,17.09999999145,85.49999995725,153.89999992305,169.289999915355,170.9999999145,85.49999995725,0.5,0.0,0.0,0.0,0.5,57.0,57.0,57.0,1.0,0.0,102.60000000000001,112.86,114.0,0.666666667,1.0,2.0,1.0
48321,256.00023912003826,110.8627450980392,338.0631375720812,1.3205578976571335,2.037517991421813,0.0,110.8627450980392,691.3254901960785,1671.6752941176471,1838.1960784313728,446.5686274509804,0.12804878048780488,0.0,0.16463414634146342,0.22560975609756098,0.4817073170731707,3263.701219512195,1413.5,4310.533001647384,1.320749882335017,2.0372848912823613,8814.400000000001,21313.86,23437.0,12.75,0.9999999237941966,164.0,143.0
48325,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,8.5,0.0,1.0,0.0
48331,144.52272726523256,129.5844155776839,116.38822949989977,0.8053282117095708,0.33503698784067504,27.81688311547445,129.5844155776839,273.17922076502964,313.4477921915091,317.92207790556245,138.02272726554426,0.0,0.0,0.25,0.25,0.5,927.0,831.5,747.2613331358715,0.806107155486377,0.3337086708910259,1752.9,2011.2899999999997,2040.0,6.416666667,0.9999998338434273,4.0,4.0
48339,39.09906432008003,8.650426123040825,77.40962033308237,1.9798330645300701,4.001049346669464,0.0,8.650426123040825,82.8708650477801,341.2952408654346,526.5030543701628,39.68353569962032,0.1686746987951807,0.0,0.3614457831325301,0.39759036144578314,0.07228915662650602,43126.048192771086,9558.0,85568.13035742423,1.9841403036730692,3.997865313112649,91565.4,377102.7999999982,581742.0,1104.916667,0.9999939466515434,83.0,69.0
