fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
12053,10.689112833748503,150,15874.762874251497,105.83175249500998,2057.930538922156
12055,23.910058797963707,208,35509.636733245774,170.7194073713739,2409.8816325546986
12057,8.231566698503624,192,12224.978017797284,63.67176050936086,1614.2286534137093
12059,240.53320816000002,112,357224.0,3189.5,29130.0
12061,20.226474586382977,162,30039.021276595744,185.4260572629367,3882.446808510638
12063,32.84312230039216,120,48776.43137254902,406.4702614379085,2741.725490196078
12065,25.49521951034316,114,37863.812502366054,332.13870616110574,2733.9375001708713
12067,52.62027051142857,129,78148.14285714286,605.7995570321151,3533.714285714286
12069,6.680132056610462,164,9920.889976253395,60.4932315625207,709.9404041917115
12071,10.44536350666537,246,15512.76250729998,63.060010192276344,1333.6328596457076
12073,8.1146137601837,123,12051.287254854456,97.97794516141835,1597.808498945679
12075,82.7880767443794,151,122951.37188401014,814.247495920597,5537.427136791443
12077,113.79470480952921,122,169000.36357490896,1385.2488817615488,7703.999997198545
12079,99.89924200772893,118,148363.74195462756,1257.319847073115,9936.000001282064
12081,6.1331682145894435,190,9108.575481316191,47.93987095429574,802.1948607707606
12083,7.284172693983878,161,10817.971149766652,67.19236738985498,925.2049215103946
12085,22.146380090876022,184,32890.33785439157,178.75183616517157,5156.173676789353
12086,9.82239900196584,274,14587.576858594231,53.23933160070887,2674.6377475942545
12087,50.316321222622385,326,74726.46987052957,229.22230021634837,3786.614457375106
12089,13.283504557511824,107,19727.781741039926,184.37179197233576,2927.06820554346
12091,8.412548525676824,135,12493.760248428467,92.54637221058124,2433.6056774657395
12093,1048.14932428,186,1556642.0,8369.043010752688,63809.333333333336
12095,5.152020332257448,159,7651.439588109198,48.122261560435206,1562.972805243411
12097,1.5930435919935182,185,2365.8829001596787,12.788556217079345,259.9586973670733
12099,11.5397737764692,228,17138.108201605726,75.16714123511284,3123.083039444078
12101,9.95793926358315,170,14788.872283813747,86.99336637537499,1496.2447893569845
12103,30.498476341793722,161,45294.31838565022,281.3311700972063,9195.22869955157
12105,7.535596163085072,226,11191.3686444962,49.519330285381415,421.07473037061146
12107,219.69433026532062,128,326275.47786455665,2549.027170816849,15542.654866706456
12109,3.105946760235942,120,4612.7465474142955,38.4395545617858,706.021883458728
12111,5.072959051384326,171,7534.023006778634,44.05861407472886,932.5612160285488
12113,9.512630714039334,145,14127.52950075643,97.43123793625124,1330.7049924357034
12115,9.298677491975655,196,13809.780336792192,70.4580629428173,1096.2432359444822
12117,8.084537515971194,119,12006.620007679914,100.89596645109171,2544.1030818506106
12119,2.5223246705646316,141,3745.989649455894,26.567302478410596,159.39914164699815
12121,103.37748034086957,126,153529.39130434784,1218.4872325741892,6576.782608695652
12123,136.343438255,150,202488.25,1349.9216666666666,8405.75
12125,43.57676922666667,104,64717.333333333336,622.2820512820513,3519.2
12127,10.791934880352734,158,16027.467372134039,101.43966691224075,1908.0035273368608
12129,13.900862588205129,124,20644.641025641024,166.48904052936308,1107.5384615384614
